id,id_city,lat,lng,id_location
1,Boston,42.3619,-71.0565,1
2,Boston,42.3638,-71.063,2
3,Boston,42.3386,-71.0664,3
4,Boston,42.3495,-71.0746,4
5,Boston,42.3707,-71.0615,5
6,Boston,42.3627,-71.0639,6
7,Boston,42.3784,-71.0911,7
8,Boston,42.3491,-71.043,8
9,Boston,42.355,-71.0773,9
10,Boston,42.3633,-71.0653,10
11,Boston,42.3624,-71.0619,11
12,Boston,42.3674,-71.0669,12
13,New York City,40.7583,-73.9229,13
14,Boston,42.3521,-71.0524,14
15,Boston,42.3669,-71.0413,15
16,Boston,42.3589,-71.0581,16
17,Boston,42.3621,-71.0525,17
19,Boston,42.3588,-71.0575,18
20,Boston,42.3819,-71.0566,19
21,Boston,42.3782,-71.0866,20
22,New York City,40.7503,-73.9523,21
23,New York City,40.676,-73.9872,22
24,New York City,40.833,-73.9463,23
25,New York City,40.7618,-73.942,24
26,New York City,40.6861,-73.8279,25
27,New York City,40.699,-73.9288,26
28,New York City,40.6998,-73.8873,27
29,New York City,40.7902,-73.8409,28
30,New York City,40.8125,-73.9234,29
31,New York City,40.6784,-73.9272,30
32,New York City,40.7314,-73.9496,31
33,New York City,40.6858,-73.9326,32
34,New York City,40.7245,-73.8945,33
35,New York City,40.6744,-73.8898,34
36,New York City,40.772,-73.9124,35
37,New York City,40.7119,-74.0065,36
38,New York City,40.82,-73.9526,37
39,New York City,40.6452,-73.9968,38
40,New York City,40.6648,-73.8911,39
41,New York City,40.6511,-73.8389,40
42,New York City,40.7177,-73.965,41
43,New York City,40.8267,-73.921,42
44,New York City,40.8098,-73.9582,43
45,New York City,40.6858,-73.8571,44
46,New York City,40.6409,-73.9437,45
47,New York City,40.7833,-73.9507,46
48,New York City,40.8166,-73.8141,47
49,New York City,40.6307,-74.0047,48
50,New York City,40.6775,-73.8485,49
51,New York City,40.6434,-73.8879,50
52,New York City,40.6748,-73.9643,51
53,New York City,40.6135,-74.0073,52
54,New York City,40.6677,-73.9908,53
55,New York City,40.688,-73.9195,54
56,New York City,40.6795,-73.9731,55
57,New York City,40.6125,-73.9107,56
58,New York City,40.7088,-73.8958,57
59,New York City,40.7329,-73.8839,58
60,New York City,40.6994,-73.9471,59
61,New York City,40.6007,-73.9939,60
62,New York City,40.657,-73.9802,61
63,New York City,40.6015,-73.9695,62
64,New York City,40.7134,-73.8377,63
65,New York City,40.6683,-73.8998,64
66,New York City,40.8002,-73.9375,65
67,New York City,40.6334,-74.017,66
68,New York City,40.6384,-74.022,67
69,New York City,40.7382,-73.8734,68
70,New York City,40.6368,-73.9982,69
71,New York City,40.7635,-73.9408,70
72,New York City,40.7613,-73.9817,71
73,New York City,40.6454,-73.9526,72
74,New York City,40.6706,-73.9449,73
75,New York City,40.6148,-73.9668,74
76,New York City,40.7504,-73.9423,75
77,New York City,40.7472,-73.876,76
78,New York City,40.7295,-73.953,77
79,New York City,40.7707,-73.9882,78
80,New York City,40.7386,-73.9902,79
81,New York City,40.747,-73.8554,80
82,New York City,40.6561,-73.9338,81
83,New York City,40.7486,-73.9823,82
84,New York City,40.7416,-73.9323,83
85,New York City,40.7893,-73.9484,84
86,New York City,40.7667,-73.9089,85
87,New York City,40.8502,-73.9357,86
88,New York City,40.6283,-73.9781,87
89,New York City,40.6973,-73.8272,88
90,New York City,40.7094,-73.963,89
91,New York City,40.6576,-73.8453,90
92,New York City,40.6822,-73.9608,91
93,New York City,40.7403,-73.895,92
94,New York City,40.6786,-73.986,93
95,New York City,40.5956,-73.9437,94
96,New York City,40.789,-73.976,95
97,New York City,40.7396,-73.9847,96
98,New York City,40.6924,-73.9071,97
99,New York City,40.6786,-73.9061,98
100,New York City,40.7572,-73.9623,99
101,New York City,40.7053,-73.8237,100
102,New York City,40.7664,-73.9306,101
103,New York City,40.6521,-73.9439,102
104,New York City,40.6514,-73.9197,103
105,New York City,40.737,-74.0,104
106,New York City,40.615,-73.9008,105
107,New York City,40.6883,-73.8384,106
108,New York City,40.6359,-74.029,107
109,New York City,40.7976,-73.9313,108
110,New York City,40.6704,-73.9272,109
111,New York City,40.7334,-73.8816,110
112,New York City,40.8936,-73.9101,111
113,New York City,40.7089,-73.9625,112
114,New York City,40.727,-73.8619,113
115,New York City,40.6962,-73.8889,114
116,New York City,40.8457,-73.9414,115
117,New York City,40.745,-73.8701,116
118,New York City,40.6892,-73.8569,117
119,New York City,40.6391,-74.0004,118
120,New York City,40.6799,-73.9616,119
121,New York City,40.6257,-73.9515,120
122,New York City,40.7807,-73.9865,121
123,New York City,40.753,-73.9096,122
124,New York City,40.6862,-73.9685,123
125,New York City,40.5966,-73.9886,124
126,New York City,40.732,-73.9001,125
127,New York City,40.7965,-73.9382,126
128,New York City,40.6117,-73.9472,127
129,New York City,40.6812,-73.9141,128
130,New York City,40.6127,-73.9372,129
131,New York City,40.6576,-73.8888,130
132,New York City,40.739,-73.8658,131
